,Pais,Anio,Emisiones_de_CO2
653,Surinam,2001,1.6
654,Surinam,2002,1.7
655,Surinam,2003,1.8
656,Surinam,2004,1.8
657,Surinam,2005,1.9
658,Surinam,2006,2.0
659,Surinam,2007,2.0
660,Surinam,2008,2.030626983
661,Surinam,2009,2.0
662,Surinam,2010,2.1
663,Surinam,2011,2.7
664,Surinam,2012,2.056473316
665,Surinam,2013,2.458005569
666,Surinam,2014,2.26434235
667,Surinam,2015,2.359134371
668,Surinam,2016,2.220087
669,Surinam,2017,2.049781
670,Surinam,2018,2.308820001
671,Surinam,2019,2.314032735
672,Argentina,1980,-1.0
673,Argentina,1981,93.02991395
674,Argentina,1982,90.736786366
675,Argentina,1983,93.950122066
676,Argentina,1984,94.251595681
677,Argentina,1985,98.3154848
678,Argentina,1986,92.07706013
679,Argentina,1987,104.423396088
680,Argentina,1988,105.510430365
681,Argentina,1989,108.456624636
682,Argentina,1990,107.366089785
683,Argentina,1991,99.378868848
684,Argentina,1992,104.194766287
685,Argentina,1993,105.550799495
686,Argentina,1994,115.861464739
687,Argentina,1995,112.113003975
688,Argentina,1996,115.12491699
689,Argentina,1997,123.061078645
690,Argentina,1998,125.789623885
691,Argentina,1999,133.648446173
692,Argentina,2000,139.373299261
693,Argentina,2001,137.719422129
694,Argentina,2002,127.29822538
695,Argentina,2003,119.221962694
696,Argentina,2004,133.003494925
697,Argentina,2005,140.36175665
698,Argentina,2006,151.993641709
699,Argentina,2007,156.319849034
700,Argentina,2008,157.872228733
701,Argentina,2009,169.176780166
702,Argentina,2010,168.427120196
703,Argentina,2011,186.427005161
704,Argentina,2012,190.293575528
705,Argentina,2013,195.564808595
706,Argentina,2014,196.689236739
707,Argentina,2015,197.325871069
708,Argentina,2016,214.14898796
709,Argentina,2017,214.123012963
710,Argentina,2018,195.140106755
711,Argentina,2019,191.358658271
712,Guatemala,1988,3.2
713,Guatemala,1989,3.5
714,Guatemala,1990,3.6
715,Guatemala,1991,3.8
716,Guatemala,1992,3.6
717,Guatemala,1993,4.4
718,Guatemala,1994,4.8
719,Guatemala,1995,5.4
720,Guatemala,1996,6.1
721,Guatemala,1997,6.3
722,Guatemala,1998,7.0
723,Guatemala,1999,8.664932537
724,Guatemala,2000,9.053974281
725,Guatemala,2001,9.116769656
726,Guatemala,2002,10.130340207
727,Guatemala,2003,10.220418465
728,Guatemala,2004,10.264960244
729,Guatemala,2005,10.797982942
730,Guatemala,2006,10.962042899
731,Guatemala,2007,11.011491916
732,Guatemala,2008,11.473275403
733,Guatemala,2009,10.965911546
734,Guatemala,2010,11.71404284
735,Guatemala,2011,10.771896076
736,Guatemala,2012,11.04204759
737,Guatemala,2013,11.563156368
738,Guatemala,2014,12.382497279
739,Guatemala,2015,13.073134025
740,Guatemala,2016,15.783469705
741,Guatemala,2017,17.072559529
742,Guatemala,2018,18.643463431
743,Guatemala,2019,19.708437412
744,Nicaragua,1990,2.1
745,Nicaragua,1991,2.0
746,Nicaragua,1992,1.9
747,Nicaragua,1993,2.3
748,Nicaragua,1994,2.3
749,Nicaragua,1995,2.5
750,Nicaragua,1996,2.8
751,Nicaragua,1997,2.9
752,Nicaragua,1998,3.0
753,Nicaragua,1999,3.5
754,Nicaragua,2000,3.7
755,Nicaragua,2001,3.7
756,Nicaragua,2002,3.9
757,Nicaragua,2003,3.9
758,Nicaragua,2004,4.0
759,Nicaragua,2005,4.2
760,Nicaragua,2006,4.4
761,Nicaragua,2007,4.5
762,Nicaragua,2008,4.010307626
763,Nicaragua,2009,4.3
764,Nicaragua,2010,4.3
765,Nicaragua,2011,4.3
766,Nicaragua,2012,4.701077745
767,Nicaragua,2013,4.447179692
768,Nicaragua,2014,4.437450817
769,Nicaragua,2015,4.642415474
770,Nicaragua,2016,5.254183
771,Nicaragua,2017,5.249562
772,Nicaragua,2018,5.181649
773,Nicaragua,2019,5.027809
774,Venezuela,1980,-1.0
775,Venezuela,1981,89.497709324
776,Venezuela,1982,97.846679788
777,Venezuela,1983,98.298687989
778,Venezuela,1984,93.00388602
779,Venezuela,1985,92.164409377
780,Venezuela,1986,93.914972066
781,Venezuela,1987,99.502339433
782,Venezuela,1988,98.367994409
783,Venezuela,1989,96.210895976
784,Venezuela,1990,102.199478759
785,Venezuela,1991,102.537749285
786,Venezuela,1992,104.587294147
787,Venezuela,1993,104.659830791
788,Venezuela,1994,106.941333575
789,Venezuela,1995,112.921776897
790,Venezuela,1996,117.864721091
791,Venezuela,1997,120.308310129
792,Venezuela,1998,122.370133384
793,Venezuela,1999,129.527653923
794,Venezuela,2000,121.08094275
795,Venezuela,2001,125.170102899
796,Venezuela,2002,142.220115968
797,Venezuela,2003,137.770528363
798,Venezuela,2004,127.788778567
799,Venezuela,2005,135.034954629
800,Venezuela,2006,131.626708227
801,Venezuela,2007,143.496808587
802,Venezuela,2008,126.554786165
803,Venezuela,2009,139.662634834
804,Venezuela,2010,135.589171231
805,Venezuela,2011,142.156846662
806,Venezuela,2012,137.508847285
807,Venezuela,2013,156.134440582
808,Venezuela,2014,144.56582394
809,Venezuela,2015,148.247173844
810,Venezuela,2016,146.123679031
811,Venezuela,2017,143.667236706
812,Venezuela,2018,140.438683495
813,Venezuela,2019,131.48505504
814,Costa Rica,1988,2.25831189
815,Costa Rica,1989,2.675007334
816,Costa Rica,1990,2.809970872
817,Costa Rica,1991,2.6910752
818,Costa Rica,1992,2.837850293
819,Costa Rica,1993,3.577531496
820,Costa Rica,1994,3.935262231
821,Costa Rica,1995,3.99881247
822,Costa Rica,1996,4.592665809
823,Costa Rica,1997,4.341123246
824,Costa Rica,1998,4.46571689
825,Costa Rica,1999,5.040783086
826,Costa Rica,2000,5.509769834
827,Costa Rica,2001,5.39223863
828,Costa Rica,2002,5.410743689
829,Costa Rica,2003,5.527630933
830,Costa Rica,2004,5.782608692
831,Costa Rica,2005,5.508260661
832,Costa Rica,2006,6.271136458
833,Costa Rica,2007,6.657303239
834,Costa Rica,2008,7.224134156
835,Costa Rica,2009,7.146471665
836,Costa Rica,2010,6.744327837
837,Costa Rica,2011,6.963164541
838,Costa Rica,2012,7.081357023
839,Costa Rica,2013,7.032514542
840,Costa Rica,2014,7.316109902
841,Costa Rica,2015,7.457260329
842,Costa Rica,2016,7.143281669
843,Costa Rica,2017,7.722970236
844,Costa Rica,2018,7.896010313
845,Costa Rica,2019,7.923880021
846,El Salvador,1988,2.2
847,El Salvador,1989,2.3
848,El Salvador,1990,2.2
849,El Salvador,1991,2.4
850,El Salvador,1992,2.8
851,El Salvador,1993,3.2
852,El Salvador,1994,3.200951219
853,El Salvador,1995,3.601660938
854,El Salvador,1996,4.601700101
855,El Salvador,1997,4.401816025
856,El Salvador,1998,4.701880016
857,El Salvador,1999,5.50208359
858,El Salvador,2000,5.502481469
859,El Salvador,2001,5.502747176
860,El Salvador,2002,5.701780641
861,El Salvador,2003,5.801585356
862,El Salvador,2004,6.102593671
863,El Salvador,2005,6.002325113
864,El Salvador,2006,6.203891502
865,El Salvador,2007,6.203199521
866,El Salvador,2008,6.203393617
867,El Salvador,2009,5.902812237
868,El Salvador,2010,5.902209599
869,El Salvador,2011,5.901772573
870,El Salvador,2012,6.402612648
871,El Salvador,2013,6.558956165
872,El Salvador,2014,6.269219854
873,El Salvador,2015,6.442372513
874,El Salvador,2016,6.887408021
875,El Salvador,2017,6.928914066
876,El Salvador,2018,6.312351521
877,El Salvador,2019,7.04650887
878,Santa Lucía,1988,0.1
879,Santa Lucía,1989,0.2
880,Santa Lucía,1990,0.2
881,Santa Lucía,1991,0.2
882,Santa Lucía,1992,0.2
