Anio,Pais,Emisiones_de_CO2
1986,El Salvador,1.9
1983,El Salvador,1.6
1984,El Salvador,1.8
1985,El Salvador,1.8
2008,Santa Lucía,0.330942744
2012,Santa Lucía,0.439284171
2013,Santa Lucía,0.435905613
2014,Santa Lucía,0.433029467
2015,Santa Lucía,0.43657188
2016,Santa Lucía,0.452804
2017,Santa Lucía,0.45769
2018,Santa Lucía,0.493367638
2019,Santa Lucía,0.451661075
1981,Santa Lucía,0.11181
1982,Santa Lucía,0.08778
1984,Santa Lucía,0.09704
1985,Santa Lucía,0.09722
1980,Santa Lucía,-1.0
2001,Santa Lucía,0.3
2002,Santa Lucía,0.3
1988,Santa Lucía,0.1
1983,Santa Lucía,0.1
1986,Santa Lucía,0.1
1987,Santa Lucía,0.1
1989,Santa Lucía,0.2
1990,Santa Lucía,0.2
1991,Santa Lucía,0.2
1992,Santa Lucía,0.2
1993,Santa Lucía,0.2
1994,Santa Lucía,0.2
1995,Santa Lucía,0.2
1996,Santa Lucía,0.2
1997,Santa Lucía,0.2
1998,Santa Lucía,0.2
1999,Santa Lucía,0.2
2000,Santa Lucía,0.2
2003,Santa Lucía,0.4
2004,Santa Lucía,0.4
2005,Santa Lucía,0.4
2006,Santa Lucía,0.4
2007,Santa Lucía,0.4
2009,Santa Lucía,0.4
2010,Santa Lucía,0.4
2011,Santa Lucía,0.4
1980,Estados Unidos,4946.62713
1981,Estados Unidos,4756.270103
1982,Estados Unidos,4636.631469
1983,Estados Unidos,4404.434841
