Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI
Uruguay,1994,4.9,0.139254312,0.0768542,42.8564,3201.15,43.501339206222767,3.2493236016090945
Uruguay,1995,4.6,0.123537125,0.06022208,42.236,3224.27,38.314758069268393,2.924924827161663
Uruguay,1996,4.7,0.1291486042,0.05946534,44.5919,3247.38,39.770092874871438,2.8962346121156535
Uruguay,1997,4.9,0.141230212158,0.065894276,46.8428,3270.16,43.187554174107689,3.0149822845346566
Uruguay,1998,5.2,0.1768021275,0.092843685,48.9687,3291.05,53.722103128180976,3.6105129909513627
Uruguay,1999,6.4,0.1585671576,0.056161192,48.0201,3308.0,47.934449093107617,3.3020996957524038
Uruguay,2000,7.239235198,0.164026258404864,0.071570216,47.079,3319.73,49.409517763451852,3.48406419857822
Uruguay,2001,6.478470396,0.17961093013374391,0.094453953,45.275,3325.47,54.010690258442843,3.9671105496133388
Uruguay,2002,4.980301899,0.15950356785057088,0.096450213,41.7813,3326.05,47.955853895933878,3.8175826949034826
Uruguay,2003,5.342463531,0.1601744129818593,0.0859005,42.1128,3323.66,48.1921775939354,3.8034614887126792
Uruguay,2004,5.521395551,0.15408872227419393,0.047766304,44.2063,3321.49,46.391445488077323,3.4856733604530112
Uruguay,2005,6.039373807,0.16636822184881037,0.066563343,47.521,3321.8,50.083756351619712,3.5009410965427992
Uruguay,2006,6.281632794,0.15164650936551458,0.03580759,49.4812,3325.4,45.60248672806717,3.0647298239637393
Uruguay,2007,7.340428368,0.17949269821136976,0.0803075,52.7101,3331.75,53.873399328091772,3.4052809274004368
Uruguay,2008,6.508653095,0.19067191954578863,0.052186784,56.501,3340.22,57.083641061303936,3.3746645111730524
Uruguay,2009,8.040470671,0.20003289441870759,0.05896992,58.8764,3349.68,59.717016078762029,3.3975055271502264
Uruguay,2010,9.082078429,0.2091728303299174,0.09581497047656,63.475,3359.27,62.267346872956743,3.2953577050794394
Uruguay,2011,8.158376624,0.20487663170658232,0.075427241435735,66.7516,3368.93,60.813561488835425,3.069239264775411
Uruguay,2012,9.162558411,0.20517870420707823,0.065874475989084,69.1194,3378.98,60.72208305674441,2.968467669092588
Uruguay,2013,9.813243621,0.21454421433769674,0.09437957656086,72.3254,3389.44,63.297835140228692,2.9663743904312554
Uruguay,2014,8.494611416,0.22071818817709266,0.118114203267205,74.6647,3400.44,64.908714218481322,2.9561250253077112
Uruguay,2015,7.500800101,0.22740147601922264,0.11987302837492,74.939,3412.01,66.647365048526424,3.0344877302769273
Uruguay,2016,8.072587193,0.23097706111227373,0.124902272141196,76.1981,3424.14,67.455495719297033,3.0312706105831211
Uruguay,2017,7.914768354,0.22294902445790049,0.13099852,77.4384,3436.65,64.8739395800854,2.8790499862845889
Uruguay,2018,6.936088697,0.22870466592515795,0.130762403,77.8085,3449.01,66.310235669121852,2.9393275275215172
Uruguay,2019,7.311541742,0.23159837522591073,0.13986732,78.0812,3461.37,66.909453547557973,2.9661221296023976
Barbados,1988,1.222220132,0.0162806723226,0.0037337728682170753,3.65318,258.97,62.867020591574317,4.4565754555209436
Barbados,1989,1.149995297,0.0177197985,0.0034025619096031017,3.78474,259.961,68.163295648193383,4.6819064189349859
Barbados,1990,1.25555033,0.01877223777,0.0038268472713852016,3.65984,260.933,71.942750706119966,5.12925094266416
Barbados,1991,1.266699837,0.0189815451455,0.0037898724663852018,3.51663,261.912,72.472987665704508,5.3976520548081544
Barbados,1992,1.364738077,0.0200511842256,0.0047809921903876193,3.271,262.89,76.272145100992816,6.129986005992051
Barbados,1993,1.394164475,0.0195408423465,0.0045216617281673022,3.31097,263.869,74.055089254516446,5.9018482035476012
Barbados,1994,1.392202715,0.0185323071105,0.0042705449313852019,3.43628,264.893,69.961482978032635,5.3931306850722294
Barbados,1995,1.290240956,0.0192335753455,0.0045216617281673022,3.5058,265.955,72.318908633039428,5.4862157982486162
Barbados,1996,1.392202715,0.017269022865,0.0038111530467054427,3.64485,267.047,64.666604998371071,4.7379241573727313
Barbados,1997,1.088279196,0.020790449615,0.0035171945410389011,3.81763,268.183,77.523368800408676,5.4459048192203019
Barbados,1998,1.484355676,0.0211169857275,0.0047943396535136025,3.96042,269.334,78.404455907906168,5.3320066375535928
Barbados,1999,1.472585116,0.022107611535,0.0058065136788599024,3.97333,270.455,81.742291823038954,5.5640008594805872
Barbados,2000,1.592202715,0.023766991734084704,0.0046871450372093252,4.15026,271.511,87.536017819111208,5.7266271833775964
Barbados,2001,1.674374634,0.023781159927879911,0.0039131293155504889,4.05201,272.494,87.272233252401563,5.8689785878810543
Barbados,2002,1.662776317,0.023941208571748248,0.0032136892628210015,4.08407,273.423,87.561063157628467,5.8620955497208049
Barbados,2003,1.656891037,0.024196509571241604,0.0032136892628210015,4.17274,274.331,88.201878647479163,5.7987100972602184
Barbados,2004,1.656891037,0.024376840825760877,0.0032565309717054428,4.23144,275.283,88.551929562526112,5.7608853784434793
